,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
203,Kuwait,KWT,12/30/2020,,,,,1121.0,,,,262.0,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
204,Latvia,LVA,12/30/2020,2261.0,,,792.0,833.0,0.12,,,442.0,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
205,Lithuania,LTU,12/30/2020,9722.0,9722.0,,1533.0,2435.0,0.36,0.36,,894.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
206,Luxembourg,LUX,12/30/2020,1200.0,1200.0,,,,0.19,0.19,,,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
207,Malta,MLT,12/30/2020,,,,,259.0,,,,587.0,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
208,Mexico,MEX,12/30/2020,24998.0,24998.0,,6469.0,3679.0,0.02,0.02,,29.0,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
209,Monaco,MCO,12/30/2020,0.0,,,,,0.0,,,,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
210,Northern Ireland,,12/30/2020,,,,,1890.0,,,,998.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
211,Norway,NOR,12/30/2020,2097.0,2097.0,,423.0,697.0,0.04,0.04,,129.0,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
212,Oman,OMN,12/30/2020,5043.0,5043.0,,1680.0,1663.0,0.1,0.1,,326.0,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
213,Poland,POL,12/30/2020,36300.0,36300.0,,30000.0,17150.0,0.1,0.1,,453.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
214,Portugal,PRT,12/30/2020,26850.0,26850.0,,10149.0,11011.0,0.26,0.26,,1080.0,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
215,Romania,ROU,12/30/2020,5666.0,5666.0,,2888.0,1800.0,0.03,0.03,,94.0,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
216,Russia,RUS,12/30/2020,,,,,68000.0,,,,466.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
217,Slovenia,SVN,12/30/2020,8891.0,8891.0,,425.0,1024.0,0.43,0.43,,493.0,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
218,Sweden,SWE,12/30/2020,,,,,1711.0,,,,169.0,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
219,Switzerland,CHE,12/30/2020,,,,,3000.0,,,,347.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
220,UK,GBR,12/30/2020,,,,,51038.0,,,,752.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
221,USA,USA,12/30/2020,2794588.0,2794588.0,,,255223.0,0.84,0.84,,763.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
