,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
499,Luxembourg,LUX,1/6/2021,,,,,62.0,,,,99.0,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
500,Malta,MLT,1/6/2021,,,,,304.0,,,,689.0,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
501,Mexico,MEX,1/6/2021,53185.0,53185.0,,4949.0,4027.0,0.04,0.04,,31.0,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
502,Monaco,MCO,1/6/2021,,,,,126.0,,,,3211.0,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
503,Netherlands,NLD,1/6/2021,6000.0,,,,,0.04,,,,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
504,Northern Ireland,,1/6/2021,,,,,3954.0,,,,2088.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
505,Norway,NOR,1/6/2021,14624.0,14624.0,,9011.0,1790.0,0.27,0.27,,330.0,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
506,Oman,OMN,1/6/2021,14005.0,14005.0,,1254.0,1280.0,0.27,0.27,,251.0,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
507,Poland,POL,1/6/2021,160359.0,160359.0,,20133.0,17723.0,0.42,0.42,,468.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
508,Portugal,PRT,1/6/2021,42035.0,42035.0,,,2169.0,0.41,0.41,,213.0,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
509,Romania,ROU,1/6/2021,58554.0,58554.0,,16945.0,7555.0,0.3,0.3,,393.0,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
510,Russia,RUS,1/6/2021,,,,,39532.0,,,,271.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
511,Saudi Arabia,SAU,1/6/2021,100000.0,,,,,0.29,,,,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
512,Slovakia,SVK,1/6/2021,6618.0,6618.0,,6193.0,3309.0,0.12,0.12,,606.0,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
513,Slovenia,SVN,1/6/2021,20171.0,20171.0,,5101.0,1611.0,0.97,0.97,,775.0,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
514,Spain,ESP,1/6/2021,,,,,45248.0,,,,968.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
515,Sweden,SWE,1/6/2021,,,,,2927.0,,,,290.0,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
516,Switzerland,CHE,1/6/2021,,,,,3000.0,,,,347.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
517,United Arab Emirates,ARE,1/6/2021,,,,,30698.0,,,,3104.0,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
518,UK,GBR,1/6/2021,,,,,110678.0,,,,1630.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
519,USA,USA,1/6/2021,5306797.0,5306797.0,,470328.0,358887.0,1.59,1.59,,1073.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
520,Argentina,ARG,1/7/2021,,,,,8363.0,,,,185.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
521,Bahrain,BHR,1/7/2021,72239.0,72239.0,,3767.0,1942.0,4.25,4.25,,1141.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
522,Belgium,BEL,1/7/2021,14322.0,14322.0,,8104.0,1934.0,0.12,0.12,,167.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
523,Bulgaria,BGR,1/7/2021,11117.0,11117.0,,3204.0,920.0,0.16,0.16,,132.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
524,Canada,CAN,1/7/2021,,,,,15327.0,,,,406.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
525,Cayman Islands,CYM,1/7/2021,,,,,275.0,,,,4184.0,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
526,Chile,CHL,1/7/2021,,,,,344.0,,,,18.0,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
527,China,CHN,1/7/2021,,,,,500000.0,,,,347.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
528,Costa Rica,CRI,1/7/2021,,,,,937.0,,,,184.0,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
529,Croatia,HRV,1/7/2021,20603.0,20603.0,,,1662.0,0.5,0.5,,405.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
530,Cyprus,CYP,1/7/2021,,,,,534.0,,,,610.0,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
531,Czech Republic,CZE,1/7/2021,35979.0,35979.0,,7918.0,3462.0,0.34,0.34,,323.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
532,Denmark,DNK,1/7/2021,107467.0,107467.0,,17809.0,10244.0,1.86,1.86,,1769.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
533,Estonia,EST,1/7/2021,6632.0,,,1623.0,675.0,0.5,,,509.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
534,Finland,FIN,1/7/2021,8155.0,,,,913.0,0.15,,,165.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
535,France,FRA,1/7/2021,43282.0,43282.0,,26218.0,6138.0,0.06,0.06,,90.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
536,Germany,DEU,1/7/2021,501307.0,501307.0,,58485.0,45477.0,0.6,0.6,,543.0,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
537,Greece,GRC,1/7/2021,26445.0,26445.0,,5829.0,3444.0,0.25,0.25,,330.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
538,Hungary,HUN,1/7/2021,42549.0,,,11049.0,5348.0,0.44,,,554.0,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
539,Iceland,ISL,1/7/2021,,,,,63.0,,,,185.0,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
540,Ireland,IRL,1/7/2021,15314.0,,,,1931.0,0.31,,,391.0,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
541,Israel,ISR,1/7/2021,1744541.0,1744535.0,6.0,113749.0,109408.0,20.16,20.16,0.0,12640.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
542,Italy,ITA,1/7/2021,424564.0,424564.0,,91128.0,55134.0,0.7,0.7,,912.0,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
543,Kuwait,KWT,1/7/2021,,,,,1121.0,,,,262.0,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
544,Latvia,LVA,1/7/2021,5434.0,,,809.0,433.0,0.29,,,230.0,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
545,Lithuania,LTU,1/7/2021,18020.0,18020.0,,4154.0,1182.0,0.66,0.66,,434.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
546,Luxembourg,LUX,1/7/2021,,,,,62.0,,,,99.0,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
547,Malta,MLT,1/7/2021,,,,,327.0,,,,741.0,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
548,Mexico,MEX,1/7/2021,58402.0,58402.0,,5217.0,4230.0,0.05,0.05,,33.0,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
549,Monaco,MCO,1/7/2021,,,,,126.0,,,,3211.0,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
550,Netherlands,NLD,1/7/2021,15000.0,,,9000.0,9000.0,0.09,,,525.0,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
551,Northern Ireland,,1/7/2021,,,,,4751.0,,,,2509.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
552,Norway,NOR,1/7/2021,21177.0,21177.0,,6553.0,2715.0,0.39,0.39,,501.0,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
553,Oman,OMN,1/7/2021,14911.0,14911.0,,906.0,1199.0,0.29,0.29,,235.0,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
554,Poland,POL,1/7/2021,188956.0,188956.0,,28597.0,20194.0,0.5,0.5,,534.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
555,Portugal,PRT,1/7/2021,,,,,3983.0,,,,391.0,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
556,Romania,ROU,1/7/2021,76400.0,76400.0,,17846.0,9444.0,0.4,0.4,,491.0,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
557,Russia,RUS,1/7/2021,,,,,32416.0,,,,222.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
558,Saudi Arabia,SAU,1/7/2021,137862.0,,,37862.0,37862.0,0.4,,,1088.0,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
559,Slovakia,SVK,1/7/2021,13631.0,13631.0,,7013.0,4544.0,0.25,0.25,,832.0,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
560,Slovenia,SVN,1/7/2021,25410.0,25410.0,,5239.0,2124.0,1.22,1.22,,1022.0,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
561,Spain,ESP,1/7/2021,207323.0,207323.0,,,41496.0,0.44,0.44,,888.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
562,Sweden,SWE,1/7/2021,,,,,3333.0,,,,330.0,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
563,Switzerland,CHE,1/7/2021,,,,,3000.0,,,,347.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
564,United Arab Emirates,ARE,1/7/2021,887697.0,,,,30698.0,8.98,,,3104.0,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
565,UK,GBR,1/7/2021,,,,,128749.0,,,,1897.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
566,USA,USA,1/7/2021,5919418.0,5919418.0,,612621.0,378253.0,1.77,1.77,,1131.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
567,Argentina,ARG,1/8/2021,107542.0,,,,10519.0,0.24,,,233.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
568,Bahrain,BHR,1/8/2021,78291.0,78291.0,,6052.0,2706.0,4.6,4.6,,1590.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
569,Belgium,BEL,1/8/2021,23464.0,23464.0,,9142.0,3239.0,0.2,0.2,,279.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
570,Bulgaria,BGR,1/8/2021,13355.0,13355.0,,2238.0,1231.0,0.19,0.19,,177.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
571,Canada,CAN,1/8/2021,,,,,17141.0,,,,454.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
572,Cayman Islands,CYM,1/8/2021,,,,,275.0,,,,4184.0,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
573,Chile,CHL,1/8/2021,,,,,417.0,,,,22.0,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
574,China,CHN,1/8/2021,,,,,500000.0,,,,347.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
575,Costa Rica,CRI,1/8/2021,9751.0,,,,1111.0,0.19,,,218.0,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
576,Croatia,HRV,1/8/2021,24985.0,24985.0,,4382.0,2130.0,0.61,0.61,,519.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
577,Cyprus,CYP,1/8/2021,,,,,534.0,,,,610.0,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
578,Czech Republic,CZE,1/8/2021,45897.0,45897.0,,9918.0,4841.0,0.43,0.43,,452.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
579,Denmark,DNK,1/8/2021,116038.0,116038.0,,8571.0,11128.0,2.0,2.0,,1921.0,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
580,Estonia,EST,1/8/2021,7973.0,,,1341.0,784.0,0.6,,,591.0,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
581,Finland,FIN,1/8/2021,11135.0,,,2980.0,1273.0,0.2,,,230.0,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
582,France,FRA,1/8/2021,76022.0,76022.0,,32740.0,10814.0,0.11,0.11,,159.0,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
583,Germany,DEU,1/8/2021,561257.0,561257.0,,59950.0,50543.0,0.67,0.67,,603.0,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
584,Greece,GRC,1/8/2021,35272.0,35272.0,,8827.0,4667.0,0.34,0.34,,448.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
585,Hungary,HUN,1/8/2021,,,,,6375.0,,,,660.0,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
586,Iceland,ISL,1/8/2021,,,,,63.0,,,,185.0,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
587,Ireland,IRL,1/8/2021,,,,,3028.0,,,,613.0,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
588,Israel,ISR,1/8/2021,1809884.0,1809873.0,11.0,65343.0,108660.0,20.91,20.91,0.0,12554.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
589,Italy,ITA,1/8/2021,519192.0,519192.0,,94628.0,67093.0,0.86,0.86,,1110.0,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
590,Kuwait,KWT,1/8/2021,,,,,1121.0,,,,262.0,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
591,Latvia,LVA,1/8/2021,6339.0,,,905.0,543.0,0.34,,,288.0,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
592,Lithuania,LTU,1/8/2021,23190.0,23190.0,,5170.0,1903.0,0.85,0.85,,699.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
593,Luxembourg,LUX,1/8/2021,,,,,62.0,,,,99.0,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
594,Malta,MLT,1/8/2021,,,,,350.0,,,,793.0,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
595,Mexico,MEX,1/8/2021,67468.0,67468.0,,9066.0,4984.0,0.05,0.05,,39.0,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
596,Monaco,MCO,1/8/2021,,,,,126.0,,,,3211.0,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
597,Netherlands,NLD,1/8/2021,27000.0,,,12000.0,10500.0,0.16,,,613.0,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
598,Northern Ireland,,1/8/2021,,,,,5548.0,,,,2930.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
599,Norway,NOR,1/8/2021,22790.0,22790.0,,1613.0,2945.0,0.42,0.42,,543.0,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
600,Oman,OMN,1/8/2021,14980.0,14980.0,,69.0,1158.0,0.29,0.29,,227.0,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
601,Poland,POL,1/8/2021,198787.0,198787.0,,9831.0,21399.0,0.53,0.53,,565.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
602,Portugal,PRT,1/8/2021,70000.0,70000.0,,,5796.0,0.69,0.69,,568.0,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
603,Romania,ROU,1/8/2021,92706.0,92706.0,,16306.0,11579.0,0.48,0.48,,602.0,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
604,Russia,RUS,1/8/2021,,,,,25299.0,,,,173.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
605,Saudi Arabia,SAU,1/8/2021,,,,,23990.0,,,,689.0,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
606,Serbia,SRB,1/8/2021,7000.0,,,,,0.1,,,,"Pfizer/BioNTech, Sinopharm, Sputnik V",Government of Serbia,https://www.danas.rs/drustvo/vakcinu-dobilo-526-930-gradjana-nis-i-dalje-vodeci-u-zemlji/
607,Slovakia,SVK,1/8/2021,20548.0,20548.0,,6917.0,5137.0,0.38,0.38,,941.0,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
608,Slovenia,SVN,1/8/2021,28599.0,28599.0,,3189.0,2571.0,1.38,1.38,,1237.0,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
609,Spain,ESP,1/8/2021,277976.0,277976.0,,70653.0,48786.0,0.59,0.59,,1043.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
610,Sweden,SWE,1/8/2021,,,,,3738.0,,,,370.0,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
611,Switzerland,CHE,1/8/2021,,,,,3000.0,,,,347.0,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
612,United Arab Emirates,ARE,1/8/2021,941556.0,,,53859.0,38418.0,9.52,,,3884.0,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
613,UK,GBR,1/8/2021,,,,,146819.0,,,,2163.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
614,USA,USA,1/8/2021,6688231.0,6688231.0,,768813.0,419933.0,2.0,2.0,,1256.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
615,Argentina,ARG,1/9/2021,,,,,11942.0,,,,264.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
616,Bahrain,BHR,1/9/2021,84157.0,84157.0,,5866.0,3437.0,4.95,4.95,,2020.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
617,Belgium,BEL,1/9/2021,26640.0,26640.0,,3176.0,3692.0,0.23,0.23,,319.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
618,Bulgaria,BGR,1/9/2021,13473.0,13473.0,,118.0,1222.0,0.19,0.19,,176.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
619,Canada,CAN,1/9/2021,,213147.0,3613.0,,18956.0,,0.56,0.01,502.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
620,Cayman Islands,CYM,1/9/2021,,,,,275.0,,,,4184.0,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
621,Chile,CHL,1/9/2021,,,,,489.0,,,,26.0,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
622,China,CHN,1/9/2021,9000000.0,9000000.0,,,500000.0,0.63,0.63,,347.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
623,Costa Rica,CRI,1/9/2021,,,,,1385.0,,,,272.0,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
624,Croatia,HRV,1/9/2021,30000.0,30000.0,,5015.0,2689.0,0.73,0.73,,655.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
625,Cyprus,CYP,1/9/2021,,,,,534.0,,,,610.0,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
